event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
163,train:hotpot:87,1,hotpot:87,518,520,multi-hop
164,train:hotpot:184,1,hotpot:184,1093,1100,semantic
165,train:hotpot:174,3,hotpot:174,1062,1064,multi-hop
166,train:hotpot:32,2,hotpot:32,173,175,multi-hop
167,train:hotpot:80,3,hotpot:80,498,500,multi-hop
168,train:hotpot:32,3,hotpot:32,173,175,multi-hop
169,train:hotpot:78,4,hotpot:78,477,479,multi-hop
170,train:hotpot:159,1,hotpot:159,966,963,semantic
171,train:hotpot:87,2,hotpot:87,522,524,multi-hop
172,train:hotpot:79,5,hotpot:79,483,491,semantic
173,train:hotpot:78,5,hotpot:78,472,476,semantic
174,train:hotpot:74,3,hotpot:74,442,444,multi-hop
175,train:hotpot:173,4,hotpot:173,1049,1054,semantic
176,train:hotpot:174,4,hotpot:174,1061,1063,multi-hop
177,train:hotpot:135,5,hotpot:135,802,803,structural
178,train:hotpot:142,3,hotpot:142,854,856,multi-hop
179,train:hotpot:24,2,hotpot:24,118,120,multi-hop
180,train:hotpot:159,2,hotpot:159,968,971,structural
181,train:hotpot:106,4,hotpot:106,636,638,multi-hop
182,train:hotpot:110,5,hotpot:110,659,662,multi-hop
183,train:hotpot:155,3,hotpot:155,939,942,semantic
184,train:hotpot:55,3,hotpot:55,332,335,semantic
185,train:hotpot:104,0,hotpot:104,617,619,multi-hop
186,train:hotpot:76,3,hotpot:76,461,463,multi-hop
187,train:hotpot:127,1,hotpot:127,769,774,semantic
188,train:hotpot:26,3,hotpot:26,136,138,structural
189,train:hotpot:30,1,hotpot:30,165,167,structural
190,train:hotpot:194,6,hotpot:194,1194,1196,structural
191,train:hotpot:87,3,hotpot:87,518,522,semantic
192,train:hotpot:106,5,hotpot:106,636,640,multi-hop
193,train:hotpot:142,4,hotpot:142,849,852,semantic
194,train:hotpot:94,1,hotpot:94,556,559,structural
195,train:hotpot:61,1,hotpot:61,365,360,semantic
196,train:hotpot:94,2,hotpot:94,557,559,multi-hop
197,train:hotpot:32,4,hotpot:32,170,172,structural
198,train:hotpot:1,2,hotpot:1,4,0,semantic
199,train:hotpot:92,2,hotpot:92,537,540,multi-hop
200,train:hotpot:48,3,hotpot:48,272,269,semantic
201,train:hotpot:92,3,hotpot:92,536,533,semantic
202,train:hotpot:166,5,hotpot:166,996,998,multi-hop
203,train:hotpot:145,1,hotpot:145,878,881,multi-hop
204,train:hotpot:106,6,hotpot:106,637,640,semantic
205,train:hotpot:46,0,hotpot:46,254,251,multi-hop
206,train:hotpot:186,3,hotpot:186,1120,1122,multi-hop
207,train:hotpot:184,2,hotpot:184,1096,1097,structural
208,train:hotpot:154,3,hotpot:154,925,933,multi-hop
209,train:hotpot:147,2,hotpot:147,894,896,multi-hop
210,train:hotpot:174,5,hotpot:174,1061,1063,structural
211,train:hotpot:69,4,hotpot:69,400,397,multi-hop
212,train:hotpot:173,5,hotpot:173,1047,1050,structural
213,train:hotpot:184,3,hotpot:184,1099,1101,multi-hop
214,train:hotpot:102,3,hotpot:102,602,604,structural
215,train:hotpot:171,4,hotpot:171,1025,1029,semantic
216,train:hotpot:102,4,hotpot:102,601,609,multi-hop
217,train:hotpot:101,2,hotpot:101,589,591,structural
218,train:hotpot:159,3,hotpot:159,962,972,semantic
219,train:hotpot:127,2,hotpot:127,769,774,semantic
220,train:hotpot:76,4,hotpot:76,464,461,multi-hop
221,train:hotpot:101,3,hotpot:101,590,593,multi-hop
222,train:hotpot:93,4,hotpot:93,544,548,multi-hop
223,train:hotpot:61,2,hotpot:61,362,364,structural
224,train:hotpot:187,3,hotpot:187,1130,1131,structural
225,train:hotpot:55,4,hotpot:55,329,324,semantic
226,train:hotpot:141,1,hotpot:141,841,844,structural
227,train:hotpot:174,6,hotpot:174,1061,1058,multi-hop
228,train:hotpot:127,3,hotpot:127,766,769,multi-hop
229,train:hotpot:154,4,hotpot:154,925,933,semantic
230,train:hotpot:141,2,hotpot:141,843,848,multi-hop
231,train:hotpot:145,2,hotpot:145,874,883,semantic
232,train:hotpot:30,2,hotpot:30,158,161,structural
233,train:hotpot:174,7,hotpot:174,1065,1067,multi-hop
234,train:hotpot:189,1,hotpot:189,1155,1158,semantic
235,train:hotpot:113,3,hotpot:113,684,686,multi-hop
236,train:hotpot:92,4,hotpot:92,536,539,structural
237,train:hotpot:171,5,hotpot:171,1025,1027,multi-hop
238,train:hotpot:150,2,hotpot:150,911,917,multi-hop
239,train:hotpot:110,6,hotpot:110,661,663,structural
240,train:hotpot:47,0,hotpot:47,259,263,multi-hop
241,train:hotpot:147,3,hotpot:147,890,892,multi-hop
242,train:hotpot:43,3,hotpot:43,226,228,multi-hop
243,train:hotpot:184,4,hotpot:184,1102,1097,multi-hop
244,train:hotpot:127,4,hotpot:127,773,769,multi-hop
245,train:hotpot:145,3,hotpot:145,881,883,multi-hop
246,train:hotpot:76,5,hotpot:76,466,469,multi-hop
247,train:hotpot:113,4,hotpot:113,685,682,semantic
248,train:hotpot:94,3,hotpot:94,553,555,multi-hop
249,train:hotpot:43,4,hotpot:43,225,227,multi-hop
250,train:hotpot:118,3,hotpot:118,724,727,semantic
251,train:hotpot:55,5,hotpot:55,326,328,multi-hop
252,train:hotpot:142,5,hotpot:142,855,859,multi-hop
253,train:hotpot:24,3,hotpot:24,117,119,structural
254,train:hotpot:106,7,hotpot:106,636,637,structural
255,train:hotpot:127,5,hotpot:127,773,769,multi-hop
256,train:hotpot:47,1,hotpot:47,258,260,multi-hop
257,train:hotpot:187,4,hotpot:187,1138,1139,structural
258,train:hotpot:46,1,hotpot:46,254,256,multi-hop
259,train:hotpot:72,5,hotpot:72,410,412,multi-hop
260,train:hotpot:1,3,hotpot:1,7,9,multi-hop
261,train:hotpot:104,1,hotpot:104,612,614,multi-hop
262,train:hotpot:189,2,hotpot:189,1160,1154,multi-hop
263,train:hotpot:93,5,hotpot:93,547,550,semantic
264,train:hotpot:46,2,hotpot:46,250,255,semantic
265,train:hotpot:26,4,hotpot:26,138,135,semantic
266,train:hotpot:80,4,hotpot:80,501,503,multi-hop
267,train:hotpot:46,3,hotpot:46,249,251,multi-hop
268,train:hotpot:72,6,hotpot:72,415,417,structural
269,train:hotpot:170,2,hotpot:170,1016,1018,structural
270,train:hotpot:24,4,hotpot:24,115,120,semantic
271,train:hotpot:171,6,hotpot:171,1024,1026,multi-hop
272,train:hotpot:122,5,hotpot:122,746,748,structural
273,train:hotpot:30,3,hotpot:30,165,162,semantic
274,train:hotpot:58,4,hotpot:58,354,351,multi-hop
275,train:hotpot:47,2,hotpot:47,261,263,multi-hop
276,train:hotpot:96,1,hotpot:96,565,567,multi-hop
277,train:hotpot:118,4,hotpot:118,722,724,multi-hop
278,train:hotpot:170,3,hotpot:170,1010,1017,multi-hop
279,train:hotpot:122,6,hotpot:122,745,741,semantic
280,train:hotpot:26,5,hotpot:26,139,136,semantic
281,train:hotpot:65,2,hotpot:65,372,373,structural
282,train:hotpot:46,4,hotpot:46,251,255,multi-hop
283,train:hotpot:26,6,hotpot:26,142,135,multi-hop
284,train:hotpot:61,3,hotpot:61,365,360,semantic
285,train:hotpot:92,5,hotpot:92,535,538,multi-hop
286,train:hotpot:75,4,hotpot:75,447,449,multi-hop
287,train:hotpot:118,5,hotpot:118,720,722,multi-hop
288,train:hotpot:150,3,hotpot:150,913,916,structural
289,train:hotpot:142,6,hotpot:142,856,858,structural
290,train:hotpot:186,4,hotpot:186,1122,1118,multi-hop
291,train:hotpot:154,5,hotpot:154,932,934,structural
292,train:hotpot:74,4,hotpot:74,434,437,multi-hop
293,train:hotpot:113,5,hotpot:113,679,682,structural
294,train:hotpot:194,7,hotpot:194,1194,1197,structural
295,train:hotpot:141,3,hotpot:141,842,848,semantic
296,train:hotpot:76,6,hotpot:76,462,459,multi-hop
297,train:hotpot:189,3,hotpot:189,1154,1161,semantic
298,train:hotpot:101,4,hotpot:101,595,598,structural
299,train:hotpot:170,4,hotpot:170,1016,1011,multi-hop
300,train:hotpot:93,6,hotpot:93,545,548,structural
301,train:hotpot:102,5,hotpot:102,604,607,semantic
302,train:hotpot:195,2,hotpot:195,1209,1212,semantic
303,train:hotpot:166,6,hotpot:166,1000,1002,structural
304,train:hotpot:72,7,hotpot:72,416,419,semantic
305,train:hotpot:143,2,hotpot:143,866,869,semantic
306,train:hotpot:143,3,hotpot:143,863,868,multi-hop
307,train:hotpot:147,4,hotpot:147,891,892,structural
308,train:hotpot:61,4,hotpot:61,368,371,semantic
309,train:hotpot:92,6,hotpot:92,533,540,semantic
310,train:hotpot:96,2,hotpot:96,564,565,structural
311,train:hotpot:170,5,hotpot:170,1016,1011,multi-hop
312,train:hotpot:104,2,hotpot:104,614,615,structural
313,train:hotpot:76,7,hotpot:76,460,462,structural
314,train:hotpot:96,3,hotpot:96,567,569,multi-hop
315,train:hotpot:69,5,hotpot:69,399,407,multi-hop
316,train:hotpot:189,4,hotpot:189,1154,1161,multi-hop
317,train:hotpot:48,4,hotpot:48,273,276,structural
318,train:hotpot:61,5,hotpot:61,365,360,multi-hop
319,train:hotpot:135,6,hotpot:135,807,809,multi-hop
320,train:hotpot:78,6,hotpot:78,471,473,multi-hop
321,train:hotpot:92,7,hotpot:92,535,538,multi-hop
322,train:hotpot:194,8,hotpot:194,1193,1190,multi-hop
323,train:hotpot:74,5,hotpot:74,434,437,multi-hop
324,train:hotpot:94,4,hotpot:94,558,559,structural
325,train:hotpot:189,5,hotpot:189,1158,1155,multi-hop
326,train:hotpot:118,6,hotpot:118,724,727,semantic
327,train:hotpot:170,6,hotpot:170,1015,1018,semantic
328,train:hotpot:145,4,hotpot:145,879,880,structural
329,train:hotpot:135,7,hotpot:135,809,812,semantic
330,train:hotpot:143,4,hotpot:143,867,864,multi-hop
331,train:hotpot:143,5,hotpot:143,866,868,multi-hop
332,train:hotpot:150,4,hotpot:150,918,921,structural
333,train:hotpot:122,7,hotpot:122,745,741,semantic
334,train:hotpot:55,6,hotpot:55,331,323,multi-hop
335,train:hotpot:46,5,hotpot:46,249,250,structural
336,train:hotpot:188,4,hotpot:188,1150,1152,structural
337,train:hotpot:61,6,hotpot:61,366,360,multi-hop
338,train:hotpot:141,4,hotpot:141,845,847,multi-hop
339,train:hotpot:113,6,hotpot:113,680,682,multi-hop
340,train:hotpot:104,3,hotpot:104,614,611,multi-hop
341,train:hotpot:159,4,hotpot:159,969,972,multi-hop
342,train:hotpot:104,4,hotpot:104,618,621,semantic
343,train:hotpot:122,8,hotpot:122,742,744,multi-hop
344,train:hotpot:79,6,hotpot:79,490,484,multi-hop
345,train:hotpot:65,3,hotpot:65,378,381,structural
346,train:hotpot:69,6,hotpot:69,398,401,semantic
347,train:hotpot:154,6,hotpot:154,930,927,multi-hop
348,train:hotpot:145,5,hotpot:145,873,875,structural
349,train:hotpot:47,3,hotpot:47,263,265,structural
350,train:hotpot:141,5,hotpot:141,839,848,semantic
351,train:hotpot:189,6,hotpot:189,1157,1159,multi-hop
352,train:hotpot:61,7,hotpot:61,362,365,structural
353,train:hotpot:155,4,hotpot:155,943,947,semantic
354,train:hotpot:171,7,hotpot:171,1022,1024,structural
355,train:hotpot:173,6,hotpot:173,1047,1053,semantic
356,train:hotpot:94,5,hotpot:94,559,562,structural
357,train:hotpot:159,5,hotpot:159,966,968,multi-hop
358,train:hotpot:9,1,hotpot:9,32,33,structural
359,train:hotpot:145,6,hotpot:145,882,876,multi-hop
360,train:hotpot:24,5,hotpot:24,116,119,structural
361,train:hotpot:141,6,hotpot:141,840,848,semantic
362,train:hotpot:184,5,hotpot:184,1094,1100,multi-hop
363,train:hotpot:184,6,hotpot:184,1100,1102,multi-hop
364,train:hotpot:135,8,hotpot:135,803,806,structural
365,train:hotpot:46,6,hotpot:46,248,250,multi-hop
366,train:hotpot:47,4,hotpot:47,265,262,semantic
367,train:hotpot:80,5,hotpot:80,498,495,multi-hop
368,train:hotpot:150,5,hotpot:150,913,915,multi-hop
369,train:hotpot:188,5,hotpot:188,1149,1151,structural
370,train:hotpot:188,6,hotpot:188,1145,1152,multi-hop
371,train:hotpot:186,5,hotpot:186,1122,1123,structural
372,train:hotpot:87,4,hotpot:87,525,518,semantic
373,train:hotpot:173,7,hotpot:173,1049,1051,multi-hop
374,train:hotpot:180,4,hotpot:180,1086,1087,structural
375,train:hotpot:26,7,hotpot:26,137,140,structural
376,train:hotpot:180,5,hotpot:180,1084,1086,multi-hop
377,train:hotpot:1,4,hotpot:1,8,10,structural
378,train:hotpot:75,5,hotpot:75,450,452,multi-hop
379,train:hotpot:113,7,hotpot:113,678,681,structural
380,train:hotpot:113,8,hotpot:113,678,680,multi-hop
381,train:hotpot:188,7,hotpot:188,1146,1142,multi-hop
382,train:hotpot:155,5,hotpot:155,942,938,multi-hop
383,train:hotpot:145,7,hotpot:145,881,884,structural
384,train:hotpot:154,7,hotpot:154,932,927,multi-hop
385,train:hotpot:1,5,hotpot:1,2,10,multi-hop
386,train:hotpot:186,6,hotpot:186,1118,1122,semantic
387,train:hotpot:104,5,hotpot:104,613,616,structural
388,train:hotpot:180,6,hotpot:180,1085,1087,multi-hop
389,train:hotpot:102,6,hotpot:102,606,608,multi-hop
390,train:hotpot:118,7,hotpot:118,721,718,multi-hop
391,train:hotpot:147,5,hotpot:147,892,889,semantic
392,train:hotpot:187,5,hotpot:187,1134,1136,multi-hop
393,train:hotpot:75,6,hotpot:75,452,454,multi-hop
394,train:hotpot:30,4,hotpot:30,161,158,semantic
395,train:hotpot:186,7,hotpot:186,1126,1128,multi-hop
396,train:hotpot:58,5,hotpot:58,349,351,multi-hop
397,train:hotpot:79,7,hotpot:79,490,484,multi-hop
398,train:hotpot:65,4,hotpot:65,379,383,semantic
399,train:hotpot:127,6,hotpot:127,765,767,multi-hop
400,train:hotpot:106,8,hotpot:106,634,640,semantic
401,train:hotpot:94,6,hotpot:94,555,558,multi-hop
402,train:hotpot:46,7,hotpot:46,244,247,multi-hop
403,train:hotpot:170,7,hotpot:170,1014,1017,structural
404,train:hotpot:96,4,hotpot:96,566,568,structural
405,train:hotpot:187,6,hotpot:187,1131,1133,multi-hop
406,train:hotpot:180,7,hotpot:180,1081,1089,multi-hop
407,train:hotpot:92,8,hotpot:92,534,536,multi-hop
408,train:hotpot:188,8,hotpot:188,1144,1153,multi-hop
409,train:hotpot:48,5,hotpot:48,270,272,multi-hop
410,train:hotpot:24,6,hotpot:24,118,119,structural
411,train:hotpot:127,7,hotpot:127,773,769,multi-hop
412,train:hotpot:65,5,hotpot:65,374,377,semantic
413,train:hotpot:174,8,hotpot:174,1063,1058,multi-hop
414,train:hotpot:61,8,hotpot:61,363,360,multi-hop
415,train:hotpot:46,8,hotpot:46,244,247,semantic
416,train:hotpot:46,9,hotpot:46,249,251,multi-hop
417,train:hotpot:141,7,hotpot:141,839,848,semantic
418,train:hotpot:113,9,hotpot:113,684,687,semantic
419,train:hotpot:195,3,hotpot:195,1206,1208,multi-hop
420,train:hotpot:143,6,hotpot:143,869,870,structural
421,train:hotpot:154,8,hotpot:154,924,927,structural
422,train:hotpot:155,6,hotpot:155,942,938,multi-hop
423,train:hotpot:150,6,hotpot:150,917,919,multi-hop
424,train:hotpot:76,8,hotpot:76,464,461,semantic
425,train:hotpot:187,7,hotpot:187,1138,1141,structural
426,train:hotpot:150,7,hotpot:150,917,920,structural
427,train:hotpot:80,6,hotpot:80,500,502,structural
428,train:hotpot:48,6,hotpot:48,276,279,structural
429,train:hotpot:195,4,hotpot:195,1202,1211,multi-hop
430,train:hotpot:96,5,hotpot:96,563,565,multi-hop
431,train:hotpot:180,8,hotpot:180,1082,1086,multi-hop
432,train:hotpot:189,7,hotpot:189,1155,1157,multi-hop
433,train:hotpot:75,7,hotpot:75,455,457,multi-hop
434,train:hotpot:96,6,hotpot:96,571,573,multi-hop
435,train:hotpot:58,6,hotpot:58,353,358,multi-hop
436,train:hotpot:78,7,hotpot:78,474,471,multi-hop
437,train:hotpot:75,8,hotpot:75,453,446,multi-hop
438,train:hotpot:43,5,hotpot:43,228,231,structural
439,train:hotpot:171,8,hotpot:171,1023,1028,semantic
440,train:hotpot:48,7,hotpot:48,275,277,multi-hop
441,train:hotpot:79,8,hotpot:79,484,488,semantic
442,train:hotpot:102,7,hotpot:102,600,609,semantic
443,train:hotpot:142,7,hotpot:142,850,852,structural
444,train:hotpot:145,8,hotpot:145,882,876,multi-hop
445,train:hotpot:43,6,hotpot:43,220,223,multi-hop
446,train:hotpot:65,6,hotpot:65,380,381,structural
447,train:hotpot:30,5,hotpot:30,162,165,structural
448,train:hotpot:93,7,hotpot:93,544,548,semantic
449,train:hotpot:65,7,hotpot:65,377,380,multi-hop
450,train:hotpot:47,5,hotpot:47,265,267,structural
451,train:hotpot:79,9,hotpot:79,490,493,structural
452,train:hotpot:65,8,hotpot:65,380,382,structural
453,train:hotpot:170,8,hotpot:170,1012,1014,multi-hop
454,train:hotpot:32,5,hotpot:32,170,171,structural
455,train:hotpot:55,7,hotpot:55,324,327,structural
456,train:hotpot:142,8,hotpot:142,856,859,semantic
457,train:hotpot:87,5,hotpot:87,525,527,multi-hop
458,train:hotpot:32,6,hotpot:32,179,176,semantic
459,train:hotpot:101,5,hotpot:101,595,598,semantic
460,train:hotpot:47,6,hotpot:47,263,265,multi-hop
461,train:hotpot:80,7,hotpot:80,495,498,structural
462,train:hotpot:93,8,hotpot:93,547,549,multi-hop
463,train:hotpot:102,8,hotpot:102,600,609,multi-hop
464,train:hotpot:195,5,hotpot:195,1210,1213,semantic
465,train:hotpot:159,6,hotpot:159,969,971,multi-hop
466,train:hotpot:195,6,hotpot:195,1203,1211,semantic
467,train:hotpot:93,9,hotpot:93,547,550,semantic
468,train:hotpot:104,6,hotpot:104,615,617,multi-hop
469,train:hotpot:87,6,hotpot:87,518,522,multi-hop
470,train:hotpot:24,7,hotpot:24,114,118,multi-hop
471,train:hotpot:80,8,hotpot:80,499,502,structural
472,train:hotpot:155,7,hotpot:155,943,945,multi-hop
473,train:hotpot:104,7,hotpot:104,612,613,structural
474,train:hotpot:24,8,hotpot:24,114,118,semantic
475,train:hotpot:110,7,hotpot:110,659,661,structural
